"","typ","typology","hhID","district","Variety","cc.catg.str","years_since_planted","cc.production.cycle","cm.plot.monocrop.bool","cc_yield_fn_Mg_per_ha","yld_pc_attain_plot","weeds_per_year","prunes_per_year","fert_bool","fungi.app.cocoa","insecti.app.cocoa","herbi.app.cocoa","pollination.bool","ccoa_spread_pods","ccoa_piled_pods","ccoa_passive_pods","ccoa_apply_mnr_farm","ccoa_apply_mnr_bought","ccoa_apply_mnr_anywhere","ccoa_apply_cmp","tree.count.per.ha","tree.config.cocoa","plot.overstory.crown","other.tree.to.cm.tree.ratio","shade.tree.to.cm.tree.ratio","plot.quant.shade.trees.ha","plot.quant.large.shade.trees.ha","num_other_tree_crops","num_other_root_grain_crops","plot.quant.trees.per.ha.greater.than.50.m","plot.quant.trees.per.ha.greater.than.35.m","plot.quant.trees.per.ha.greater.than.20.m","detect.bool.blackpod","detect.bool.capsid","detect.bool.stemborer","detect.bool.rodents","detect.bool.CSSVD","detect.bool.stemcanker","detect.bool.other","path.contr.cc.vir.org","path.contr.cc.bact.org","path.contr.cc.fung.org","path.contr.cc.insect.org","path.contr.cc.vir.syn","path.contr.cc.bact.syn","path.contr.cc.fung.syn","path.contr.cc.insect.syn","path.contr.tot.org","path.contr.tot.syn","frac.tot.paths.controlled.syn","frac.tot.paths.controlled.org","quant.paths","quant.paths.fungal","quant.paths.viral","quant.paths.bacterial","quant.paths.insect","total_N_fert_applied_Mg_per_ha","total_non_N_fert_applied_Mg_per_ha","total_fert_applied_Mg_per_ha","total.hi.labor.days.per.year.per.ha","domn_soil","water.log.bool","water.logged","Elevation.m.asl","Temperature","Rainfall","Temp.mean.max.month","Rainfall.cv"
"440",4,"Hybrid sun","v35_102",2,"Hybrid","Hybrid sun",20,24,1,0.825577805,68.2651025528068,3.5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,35,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,2.47105,2.47105,92.664375,2,0,1,181,25.7999992370605,29,32.2000007629395,48.0405616760254
"444",5,"Amazonia","v35_106",2,"Amazonia","Amazonia",11,30,0,0.123997289,22.7384068685227,3.5,2,1,1,1,0,0,0,1,1,0,0,0,0,1133.22,1,25,0.00980392156862745,0.0065359477124183,7.40666666666667,0,1,2,0,22.22,22.22,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0.3706575,0.593052,0.9637095,0,2,0,1,187,25.7000007629395,29,32.0999984741211,47.9860687255859
"446",4,"Hybrid shade","v35_108",2,"Hybrid","Hybrid shade",10,24,0,0.123997289,7.65753571433594,3.5,1,0,0,1,0,0,0,0,0,0,0,0,0,1066.56,1,25,0.0208333333333333,0.0138888888888889,14.8133333333333,14.8133333333333,0,1,0,22.22,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,14.8263,1,0,1,187,25.7000007629395,29,32.0999984741211,47.9860687255859
"449",5,"Amazonia","v35_111",2,"Amazonia","Amazonia",17,30,1,0.289755323,25.9870214865637,3.5,1,1,1,1,0,0,0,1,0,0,0,0,0,1033.23,1,25,0.010752688172043,0.0053763440860215,5.555,0,0,0,0,0,11.11,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0,0,0.3706575,0,3,0,1,183,25.7000007629395,29,32.0999984741211,47.9446067810059
"451",3,"Hybrid shade","v35_113",2,"Hybrid","Hybrid shade",8,24,0,0.123997289,10.2590676954579,1.5,1,1,1,1,1,0,0,0,0,0,0,0,0,1477.63,1,25,0.0150375939849624,0.0150375939849624,22.22,22.22,3,2,0,0,11.11,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0.00247105,0.00247105,2.47105,1,0,1,183,25.7000007629395,29,32.0999984741211,47.9446067810059
"455",4,"Amazonia","v35_117",2,"Amazonia","Amazonia",25,30,0,0.249279524,18.5245342255877,1.5,3.5,0,1,1,0,0,0,0,0,0,0,0,0,922.13,1,5,0.0240963855421687,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,2,0,1,1,0,0,0,0,2.82405714285714,3,0,1,183,25.7000007629395,29,32.0999984741211,47.9446067810059
"496",4,"Amazonia","v35_158",1,"Amazonia","Amazonia",8,30,1,0.0619986445,24.1612440477355,3.5,1,0,1,1,0,0,0,0,0,0,0,0,0,711.04,1,5,0.046875,0,NA,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,4,0,1,263,25.2000007629395,32,31.3999996185303,47.1927375793457
"497",5,"Hybrid sun","v35_159",1,"Hybrid","Hybrid sun",15,24,0,0.123997289,5.43373269054006,3.5,1,0,1,1,0,0,0,1,1,0,0,0,0,1222.1,1,0,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,3,0,1,1,0,0,0,0,0,2,0,1,263,25.2000007629395,32,31.3999996185303,47.1927375793457
"499",4,"Amazonia","v35_161",1,"Amazonia","Amazonia",30,30,0,0.082879017,6.89776228738986,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,922.13,1,35,0.0120481927710843,0.00602409638554217,5.555,0,2,0,0,0,11.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,14.8263,1,0,1,263,25.2000007629395,32,31.3999996185303,47.1927375793457
"504",2,"Hybrid sun","v35_166",2,"Hybrid","Hybrid sun",8,24,0,0.123997289,6.52326101599041,3.5,1,1,1,1,0,0,0,1,0,0,0,0,0,1244.32,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0,0.247105,0.247105,0,1,0,1,288,25.1000003814697,32,31.2000007629395,47.1114959716797
